hour_id,avg_iron_cct,avg_silica_cct,iron_adjustment,silica_penalty,revenue_per_tonne
"2017-03-10 01:00:00",66.90999999999988,1.3100000000000018,4.201999999999742,0,126.20199999999974
"2017-03-10 02:00:00",67.05999999999996,1.1100000000000045,4.531999999999911,0,126.53199999999991
"2017-03-10 03:00:00",66.96999999999986,1.2700000000000038,4.333999999999685,0,126.33399999999969
"2017-03-10 04:00:00",66.75,1.3600000000000063,3.8500000000000005,0,125.85
"2017-03-10 05:00:00",66.62999999999981,1.340000000000003,3.5859999999995837,0,125.58599999999959
"2017-03-10 06:00:00",66.85000000000021,1.1500000000000037,4.070000000000457,0,126.07000000000046
"2017-03-10 07:00:00",65.76000000000018,2.7599999999999936,1.6720000000003865,1.5199999999999871,122.1520000000004
"2017-03-10 08:00:00",65.88999999999993,2.6499999999999915,1.9579999999998452,1.299999999999983,122.65799999999986
"2017-03-10 09:00:00",66.68000000000016,1.7299999999999995,3.696000000000359,0,125.69600000000035
"2017-03-10 10:00:00",66.52000000000028,1.810000000000002,3.3440000000006167,0,125.34400000000062
"2017-03-10 11:00:00",65.54999999999986,2.8299999999999947,1.209999999999681,1.6599999999999895,121.5499999999997
"2017-03-10 12:00:00",65.54999999999986,2.8299999999999947,1.209999999999681,1.6599999999999895,121.5499999999997
"2017-03-10 13:00:00",66.73999999999982,1.5,3.827999999999614,0,125.82799999999962
"2017-03-10 14:00:00",66.26000000000018,1.939999999999998,2.7720000000003866,0,124.77200000000039
"2017-03-10 15:00:00",67.60000000000022,1.0900000000000027,5.720000000000488,0,127.72000000000048
"2017-03-10 16:00:00",67.29999999999986,1.5099999999999962,5.059999999999682,0,127.05999999999968
"2017-03-10 17:00:00",66.29999999999986,1.9599999999999962,2.8599999999996815,0,124.85999999999969
"2017-03-10 18:00:00",66.20999999999974,3.570000000000005,2.6619999999994235,3.1400000000000103,121.52199999999941
"2017-03-10 19:00:00",67.23999999999982,1.1200000000000028,4.927999999999614,0,126.92799999999961
"2017-03-10 20:00:00",66.22999999999972,1.4900000000000038,2.7059999999993836,0,124.70599999999938
"2017-03-10 21:00:00",66.42000000000006,1.4699999999999998,3.124000000000129,0,125.12400000000012
